Profession,Consumes,Produces,Commission,Cost,AD/Credit,Cost to get 25000,,,,Profession,Name,Tool,Unlock,Consumes,Produces
Blacksmithing,"3x [Silver Vines]
2x [Hardened Feywood]
2x [Ears 'n Tears]
1x [Soulfire Flies]",1x [Commissioned Shadow Cutters],750,"1,172",2,"39,079",,,,Alchemy,Commissioned Fever Reducer,,Masterwork Alchemy Recipes IV,"4x [Red Alder Bark]
4x [Madder Root]
4x [Effervescent Water]
1x [Alkali]",1x [Commissioned Fever Reducer]
Tailoring,"12x [Lacquered Leaves]
4x [Woven Whiskers]
4x [Frozen Dawn's Dew]
2x [Thorned Ornament]",1x [Commissioned Tent Panels],400,0,0,0,,,,Alchemy,Commissioned Hull Coating,,Masterwork Alchemy Recipes IV,"4x [Shark Oil]
4x [Charcoal]
1x [Oil of Vitriol]
2x [Lakh Resin]
2x [Spruce Resin]",1x [Commissioned Hull Coating]
Jewelcrafting,"3x [Silver Vines]
2x [Shadowdemon's Eyes]
2x [Woven Whiskers]
1x [Dawn's Silver Enamel]",1x [Commissioned Shackles],675,"3,562",5,"131,923",,,,Alchemy,Commissioned Incense,,Masterwork Alchemy Recipes IV,"6x [Red Alder Bark]
4x [Burgundy Pitch]
2x [Palm Wax]
2x [Charcoal]
1x [Spruce Lumber]",1x [Commissioned Incense]
Armorsmithing,"4x [Shard of Dawn's Light]
4x [Copper Ingot]
2x [Silvertongue Moss]
2x [Hardened Blight Bark]
2x [Salt-Marsh Crystal]",1x [Commissioned Shieldings],495,"305,335",617,"15,420,951",,,,Alchemy,Commissioned Medicinal Tea,,Masterwork Alchemy Recipes IV,"4x [Chultan Tea Leaves]
4x [Woad]
2x [Senna Leaves]
2x [Chultan Spring Water]",1x [Commissioned Medicinal Tea]
Blacksmithing,"2x [Laminated Adamant Blade]
2x [Feywood Lumber]
1x [Dawn's Silver Enamel]
1x [Soulfire Flies]",1x [Commissioned Blight Slicers],695,"1,172",2,"42,171",,,,Artificing,Commissioned Cambist's Scales,,Masterwork Artificing Recipes IV,"4x [Brass Ingot]
4x [Magicked Enamel]
2x [Gold Wire]
2x [Shark Oil]",1x [Commissioned Cambist's Scales]
Artificing,"4x [Displacer Beast's Whisker]
2x [Silver Vines]
1x [Shard of Dawn's Light]
2x [Dawn's Silver Enamel]",1x [Commissioned Abacus],500,"483,886",968,"24,194,290",,,,Artificing,Commissioned Hull,,Masterwork Artificing Recipes IV,"20x [Teak Lumber]
6x [Oak Lumber]
4x [Titansteel Nails]
2x [Lakh Varnish]",1x [Commissioned Hull]
Tailoring,"6x [Dryad Hair]
4x [Hardened Blight Bark]
4x [Fey Fibers]
2x [Beads of Light]",1x [Commissioned Sleeping Roll],950,"73,858",78,"1,943,643",,,,Artificing,Commissioned Lacquer,,Masterwork Artificing Recipes IV,"4x [Lakh Resin]
4x [Propolis]
2x [Magicked Enamel]
1x [Burgundy Pitch]
1x [Chultan Spring Water]",1x [Commissioned Lacquer]
Armorsmithing,"6x [Silvertongue Moss]
3x [Corpse Flower Thorn]
2x [Troll's Earwax Resin]
1x [Frozen Dawn's Dew]",1x [Commissioned Trap Wires],375,"33,202",89,"2,213,462",,,,Artificing,Commissioned Sextant,,Masterwork Artificing Recipes IV,"4x [Brightsilver Ingot]
2x [Scintillant Glass]
1x [Red Rouge]
2x [Artisan's Enamel]",1x [Commissioned Sextant]
Alchemy,"6x [Hardened Blight Bark]
6x [Troll's Earwax Resin]
2x [Shadowdemon's Eyes]
1x [Feywood Lumber]",1x [Commissioned Blightblockers],1100,"21,910",20,"497,959",,,,Blacksmithing,Commissioned Assassin's Dagger,,Masterwork Weaponsmithing Recipes IV,"3x [Obsidian Shard]
2x [Hardened Bronzewood]
2x [Dark Lacquer]
1x [Artisan's Putty]",1x [Commissioned Assassin's Dagger]
Armorsmithing,"1x [Hardened Blight Bark]
2x [Shard of Dawn's Light]
2x [Soulfire Flies]
1x [Silver Vines]
1x [Dawn's Silver Enamel]",1x [Commissioned Support Braces],515,"77,164",150,"3,745,813",,,,Blacksmithing,Commissioned Butcher's Knife,,Masterwork Weaponsmithing Recipes IV,"4x [Wootz Steel Ignots]
2x [Laminated Steel Blade]
2x [Bronzewood Lumber]
1x [Artisan's Putty]",1x [Commissioned Butcher's Knife]
Tailoring,"8x [Fey Fibers]
4x [Woven Fey Leaves]
4x [Silver Vines]
2x [Soulfire Flies]",1x [Commissioned Padded Jacket],575,"2,345",4,"101,944",,,,Blacksmithing,Commissioned Machete,,Masterwork Weaponsmithing Recipes IV,"2x [Laminated Adamant Blade]
2x [Bronzewood Lumber]
1x [Artisan's Enamel]
1x [Artisan's Putty]",1x [Commissioned Machete]
Jewelcrafting,"6x [Shard of Dawn's Light]
4x [Salt-Marsh Crystal]
4x [Troll's Earwax Resin]
1x [Shard of Dawn's Light]",1x [Commissioned Lightcatcher],1400,"257,882",184,"4,605,042",,,,Blacksmithing,Commissioned Scalepiercer Arrows,,Masterwork Weaponsmithing Recipes IV,"1x [Titansteel Ingot]
4x [Bronzewood Lumber]
2x [Brilliant Pinion]
1x [Artisan's Putty]",1x [Commissioned Scalepiercer Arrows]
Artificing,"20x [Feywood Lumber]
6x [Hardened Blight Bark]
4x [Corpse Flower Thorn]
2x [Ears 'n Tears]",1x [Commissioned Portal Frame],1600,"10,546",7,"164,785",,,,Jewelcrafting,Commissioned Bangles,,Masterwork Jewelcrafting Recipes IV,"3x [Gold Ingot]
2x [Gold Wire]
2x [Blue Enamel]
1x [Artisan's Enamel]",1x [Commissioned Bangles]
Artificing,"4x [Ears 'n Tears]
4x [Frozen Dawn's Dew]
2x [Dawn's Silver Enamel]
1x [Troll's Earwax Resin]
1x [Weeping Willow's Tears]",1x [Commissioned Silver Sealant],600,"14,641",24,"610,027",,,,Jewelcrafting,Commissioned Hand Mirror,,Masterwork Jewelcrafting Recipes IV,"4x [Brightsilver Ingot]
1x [Red Rouge]
2x [Scintillant Glass]
2x [Aqua Fortis]",1x [Commissioned Hand Mirror]
Armorsmithing,"4x [Silvertongue Moss]
4x [Displacer Beast's Whisker]
2x [Shade Leaves]
2x [Feywood Lumber]
2x [Ears 'n Tears]",1x [Commissioned Livingwood Quiver],1150,"460,031",400,"10,000,679",,,,Jewelcrafting,Commissioned Silverware,,Masterwork Jewelcrafting Recipes IV,"4x [Brightsilver Ingot]
1x [Red Rouge]
2x [Hardsand]",1x [Commissioned Silverware]
Alchemy,"6x [Hardened Blight Bark]
6x [Weeping Willow's Tear]
3x [Alkali]",1x [Commissioned Blightburner],525,"113,143",216,"5,387,753",,,,Jewelcrafting,Commissioned Spyglass,,Masterwork Jewelcrafting Recipes IV,"6x [Brass Ingot]
4x [Slaked Lime]
4x [Silex]
1x [Red Rouge]",1x [Commissioned Spyglass]
Alchemy,"6x [Troll's Earwax Resin]
4x [Weeping Willow's Tears]
4x [Shadowdemon's Eyes]",1x [Commissioned Repellent],620,"68,005",110,"2,742,154",,,,Leatherworking,Commissioned Mounted Raptor,,Masterwork Leatherworking Recipes IV,"12x [Dinosaur Leather]
6x [Alum]
2x [Bronzewood Lumber]
4x [Iron Nails]",1x [Commissioned Mounted Raptor]
Blacksmithing,"4x [Silvertongue Moss]
2x [Laminated Steel Blade]
2x [Feywood Lumber]
1x [Soulfire Flies]",1x [Commissioned Earth Mulchers],1300,"17,116",13,"329,161",,,,Leatherworking,Commissioned Sailing Boots,,Masterwork Leatherworking Recipes IV,"4x [Lacquered Dinosaur Leather]
2x [Lined Aberrant Leather]
2x [Artisan's Putty]
2x [Dubbin]",1x [Commissioned Sailing Boots]
Leatherworking,"4x [Lacquered 'Aged' Leather]
2x [Dryad Hair]
2x [Soulfire Flies]
2x [Frozen Dawn's Dew]
1x [Fey Fibers]",1x [Commissioned Trap Cover],1250,"26,220",21,"524,395",,,,Leatherworking,Commissioned Triceratops Harness,,Masterwork Leatherworking Recipes IV,"6x [Aberrant Leather Strap]
3x [Titansteel Rings]
2x [Cashmere]
2x [Chultan Silk Thread]",1x [Commissioned Triceratops Harness]
Alchemy,"4x [Shadowdemon's Eyes]
4x [Shade Leaves]
1x [Shard of Dawn's Light]
2x [Weeping Willow's Tears]",1x [Commissioned Morning's Light Tea],425,"68,245",161,"4,014,404",,,,Leatherworking,Commissioned Tyrannosaur Saddle,,Masterwork Leatherworking Recipes IV,"4x [Manticore Leather]
2x [Cashmere]
2x [Wootz Steel Rings]
2x [Propolis Varnish]
1x [Chultan Silk Thread]",1x [Commissioned Tyrannosaur Saddle]
Leatherworking,"12x [Lacquered 'Aged' Leather]
6x [Soulfire Flies]
2x [Feywood Lumber]
4x [Corpse Flower Thorn]",1x [Commissioned Mounted Spider],400,"11,918",30,"744,880",,,,Tailoring,Commissioned Awning,,Masterwork Tailoring Recipes IV,"12x [Menga Cloth]
4x [Jute Macrame]
4x [Propolis]
2x [Crimson Fabric Dye]",1x [Commissioned Awning]
Blacksmithing,"1x [Corpse Flower Thorn]
4x [Feywood Lumber]
2x [Shard of Dawn's Light]
1x [Silvertongue Moss]",1x [Commissioned Silvernotch Arrows],950,"75,500",79,"1,986,835",,,,Tailoring,Commissioned Carpet,,Masterwork Tailoring Recipes IV,"6x [Cashmere]
4x [Samarachan Jute]
4x [Chultan Silk Thread]
2x [Vermilion Fabric Dye]",1x [Commissioned Carpet]
Artificing,"4x [Shard of Dawn's Light]
4x [Dawn's Silver Enamel]
2x [Silver Vines]
2x [Troll's Earwax Resin]",1x [Commissioned Compass],1200,"153,355",128,"3,194,887",,,,Tailoring,Commissioned Gown,,Masterwork Tailoring Recipes IV,"8x [Silk Thread]
4x [Samite]
4x [Snowhare Yarn]
2x [Emerald Fabric Dye]",1x [Commissioned Gown]
Armorsmithing,"6x [Silvertongue Moss]
4x [Shard of Dawn's Light]
2x [Corpse Flower Thorn]
1x [Shattered Snowflakes]
1x [Salt-Marsh Crystal]",1x [Commissioned Livingwood Bolts],1250,"181,258",145,"3,625,159",,,,Tailoring,Commissioned Mainsail,,Masterwork Tailoring Recipes IV,"25x [Menga Cloth]
5x [Chultan Silk Thread]
3x [Artisan's Putty]
1x [Potash]",1x [Commissioned Mainsail]
Jewelcrafting,"4x [Displacer Beast's Whisker]
1x [Shard of Dawn's Light]
2x [Silver Vines]",1x [Commissioned Writing Needle],1100,"463,048",421,"10,523,827",,,,Armorsmithing,Commissioned Buckler,,Masterwork Platesmithing Recipes IV,"4x [Wootz Steel Plate]
4x [Titania]
2x [Dark Alum]
2x [Spruce Lumber]
2x [Lakh Varnish]",1x [Commissioned Buckler]
Armorsmithing,"4x [Hardened Feywood]
1x [Feywood Lumber]
4x [Corpse Flower Thorn]
2x [Ears 'n Tears]",1x [Commissioned Spiked Trap],980,"4,919",5,"125,480",,,,Armorsmithing,Commissioned Compy Wire,,Masterwork Mailsmithing Recipes IV,"6x [Wootz Steel Ore]
3x [Molybdena]
2x [Shark Oil]
1x [Propolis Varnish]",1x [Commissioned Compy Wire]
Tailoring,"25x [Lacquered Leaves]
5x [Fey Fibers]
4x [Soulfire Flies]",1x [Commissioned Fey'd Fabric Rolls],980,"4,689",5,"119,628",,,,Armorsmithing,Commissioned Fishing Rod,,Masterwork Mailsmithing Recipes IV,"2x [Bronzewood Lumber]
2x [Elm Lumber]
2x [Teak Lumber]
1x [Brass Ingot]
1x [Artisan's Putty]",1x [Commissioned Fishing Rod]
Jewelcrafting,"4x [Displacer Beast's Whisker]
1x [Shard of Dawn's Light]
2x [Silver Vines]
2x [Salt-Marsh Crystal]",1x [Commissioned Light Lanterns],975,"463,048",475,"11,873,036",,,,Armorsmithing,Commissioned Hull Sheathing,,Masterwork Platesmithing Recipes IV,"8x [Brass Ingot]
2x [Copper Ingot]
2x [Wootz Steel Ore]
2x [Native Iron]
1x [Coke]",1x [Commissioned Hull Sheathing]
Armorsmithing,"2x [Feywood Lumber]
2x [Elm Lumber]
2x [Hardened Blight Bark]
1x [Shard of Dawn's Light]
1x [Soulfire Flies]",1x [Commissioned Finger Bow Releases],1500,"39,965",27,"666,088",,,,Armorsmithing,Commissioned Shipwright Bolts,,Masterwork Mailsmithing Recipes IV,"6x [Wootz Steel Ore]
4x [Brass Ingot]
2x [Molybdena]
1x [Relic Iron Ingot]
1x [Coke]",1x [Commissioned Shipwright Bolts]
Leatherworking,"6x [Lacquered 'Aged' Leather]
3x [Soulfire Flies]
2x [Dryad Hair]
2x [Fey Fibers]",1x [Commissioned Silvervein Bridle],975,"27,412",28,"702,861",,,,Armorsmithing,Commissioned Spiked Barricade,,Masterwork Platesmithing Recipes IV,"4x [Hardened Bronzewood]
1x [Titansteel Plate]
4x [Adamant Nails]
2x [Lakh Varnish]",1x [Commissioned Spiked Barricade]
Armorsmithing,"3x [Feywood Lumber]
2x [Lacquered 'Aged' Leather]
2x [Soulfire Flies]
2x [Dawn's Silver Enamel]",1x [Commissioned Spider Barding],1400,"2,459",2,"43,918",,,,Armorsmithing,Commissioned Timepiece,,Masterwork Mailsmithing Recipes IV,"1x [Timepiece]
2x [Brass Ingot]
2x [Titansteel Rings]
1x [Scintillant Glass]
1x [Artisan's Enamel]",1x [Commissioned Timepiece]
Leatherworking,"4x [Lacquered 'Aged' Leather]
2x [Shade Leaves]
2x [Soulfire Flies]
2x [Shattered Snowflakes]",1x [Commissioned Wet Boots],1250,"14,898",12,"297,952",,,,Armorsmithing,Commissioned Tyrannosaur Barding,,Masterwork Platesmithing Recipes IV,"3x [Titansteel Plate]
2x [Lacquered Dinosaur Leather]
2x [Titansteel Rings]
2x [Red Enamel]",1x [Commissioned Tyrannosaur Barding]